,index,ON_STREAM_HRS,AVG_DOWNHOLE_PRESSURE,AVG_DOWNHOLE_TEMPERATURE,AVG_DP_TUBING,AVG_CHOKE_SIZE_P,DP_CHOKE_SIZE,AVG_WHP_P,AVG_WHT_P,BORE_OIL_VOL,BORE_GAS_VOL,BORE_WAT_VOL
1459,6676,24.0,241.90700604166668,101.39343041666666,207.10526020833333,63.134395,5.57238625,34.801745833333335,86.13088270833333,1038.65,169379.96,3290.56
1460,6677,24.0,241.99968854166667,101.4024225,207.29830229166666,64.48677583333334,5.461021041666666,34.70138625,85.70850020833333,1034.91,168974.68,3334.86
1461,6678,24.0,242.23154083333333,101.404626875,207.59394833333334,65.21420770833333,5.380351666666667,34.6375925,86.50745458333333,1035.1,168597.48,3380.61
1462,6679,24.0,242.397950625,101.38875666666667,207.67523854166666,65.199154375,5.433384375,34.722712083333334,87.941485,1030.1,166914.84,3386.83
1463,6680,24.0,242.78351375,101.36709083333334,207.86897895833334,65.20401479166667,5.242975,34.91453479166667,87.622629375,1005.13,164073.57,3350.08
1464,6681,24.0,242.16209104166666,101.36490375,207.62550520833332,65.22876895833333,5.336733541666667,34.53658583333333,88.26014666666667,1038.14,167757.34,3337.35
1465,6682,24.0,241.912158125,101.35785020833333,207.515863125,65.783123125,5.219851458333333,34.396295,88.2348475,985.25,159033.76,3201.46
1466,6683,24.0,241.37159208333333,101.35343645833333,207.435384375,68.98314625,4.745286666666667,33.936207708333335,87.70638458333333,988.97,160441.97,3189.42
1467,6684,24.0,241.23065468085107,101.35684520833334,207.54121914893616,71.91100270833333,4.481756808510639,33.689435531914896,88.37454872340426,984.48,161396.18,3210.04
1468,6685,24.0,234.60724854166668,98.49718333333334,201.05668208333333,75.15883,4.325488958333334,33.550566458333336,87.61690625,987.23,160843.03,3225.76
1469,6686,24.0,241.64050872340425,101.35544,208.04806340425532,73.70549625,4.367350212765958,33.592445319148936,88.31373489361702,990.4,160154.0,3315.08
1470,6687,24.0,241.80215520833335,101.33337916666666,208.16451041666667,75.32040979166666,4.423694583333333,33.637644791666666,88.42066916666667,991.65,160039.15,3299.18
1471,6688,24.0,241.8410675,101.31896354166666,208.2563025,75.30807354166667,4.378574583333333,33.584765,88.082655625,987.96,160249.24,3280.56
1472,6689,24.0,242.328766875,101.30034145833334,208.42161041666665,75.259671875,4.238027708333333,33.90715645833333,87.72921854166667,964.48,156952.5,3250.93
1473,6690,24.0,241.7905525,101.29654041666667,208.26912979166667,75.33502291666667,4.2745125,33.52142270833333,86.99587354166667,977.72,159380.64,3259.46
1474,6691,24.0,241.53877125,101.28282770833333,208.13801395833335,75.45427729166667,4.195893541666667,33.400757291666665,87.098883125,973.7,159458.0,3281.21
1475,6692,24.0,241.33382791666668,101.26489416666666,208.00324708333332,75.51816708333334,4.1239679166666665,33.330580833333336,86.14415083333333,975.98,158237.8,3180.38
1476,6693,24.0,241.71081979166667,101.25990166666666,208.16988479166668,75.51299270833333,4.225367708333334,33.540935,87.88404416666667,958.45,156113.23,3189.62
