,0,1,2,,DATEPRD,BORE_OIL_VOL,BORE_GAS_VOL,BORE_WAT_VOL,,,,,
204,4121.756,586392.5,732.4386,,2/14/09,4618.77,652096.63,90.78,,,3962.3652,561716.25,503.0926
205,4069.937,580504.56,733.02856,,2/15/09,4493.98,639392.16,98.04,,,3920.5925,556349.44,514.73444
206,4007.013,573344.94,722.1341,,2/16/09,3907.94,554563.46,94.73,,,3870.9487,549231.75,510.04883
207,3946.5564,566253.06,703.03424,,2/17/09,4526.91,644169.06,105.76,,,3837.3855,544033.44,496.07242
208,3893.1853,557816.06,673.1071,,2/18/09,4515.1,641145.23,101.87,,,3827.9236,542188.25,485.91336
209,3874.0332,551787.25,652.7292,,2/19/09,4518.34,640332.13,91.64,,,3820.7126,540684,478.53662
210,3877.291,548511.75,637.0739,,2/20/09,4509.07,638750.17,108.74,,,3807.3567,538735.6,473.7898
211,3879.075,547096,629.90295,,2/21/09,2905.92,414713.42,85.56,,,3794.359,537578.4,470.5842
212,3838.1985,541709.2,600.64355,,2/22/09,4319.02,612912.62,106.6,,,3776.603,535782.4,461.3399
213,3824.4324,540184.6,563.07477,,2/23/09,4417.66,625514.01,117.37,,,3759.8855,533885.3,447.14935
214,3823.7195,539614.6,523.6274,,2/24/09,4367.33,622877.1,100.87,,,3741.7349,531617,434.4352
215,3826.1536,537695,487.58325,,2/25/09,3226.61,460948.01,118.99,,,3732.128,530006.56,428.85956
216,3817.1716,533234.56,458.4983,,2/26/09,4411.9,628668.27,134.19,,,3735.9438,529593.25,430.8113
217,3790.0215,528853.7,455.86612,,2/27/09,4376.91,625510.25,152.76,,,3716.4443,526066.8,432.7653
218,3740.6328,524092.53,477.05734,,2/28/09,4417.91,626562.21,106.72,,,3702.7925,523466.62,439.6112
219,3667.819,517725.16,510.7039,,3/1/09,4396.74,628354.12,155.97,,,3691.9155,521854.22,442.31424
220,3577.158,508726.53,525.7654,,3/2/09,4381.09,623678.16,163.39,,,3678.5981,521081.47,445.12918
221,3484.8347,496715.5,515.3472,,3/3/09,4339.13,616094.56,10.95,,,3663.5215,519717.88,448.08398
222,3422.5923,485338.4,491.81436,,3/4/09,4421.77,627149.49,73.56,,,3661.4956,518980.44,455.6741
223,3394.7654,478783.34,476.7993,,3/5/09,1974.22,281263.48,28.19,,,3721.2178,527069.3,463.6226
224,3436.347,480750.53,478.2298,,3/6/09,2987.89,427244.32,100.06,,,3768.1562,533606.5,444.19037
225,3437.5474,478620.1,496.083,,3/7/09,2208.96,316638.28,104.01,,,3751.0476,531171.2,436.31006
226,3437.286,478829.88,515.31085,,3/8/09,969.01,139091.13,10,,,3729.407,528360.8,424.04556
227,3525.0532,493660.7,522.34753,,3/9/09,109.63,15874.53,10,,,3750.1506,531697.7,404.30753
228,3596.1997,505735.28,507.13068,,3/10/09,2623.97,365586.5,101.12,,,3754.4536,532241.44,399.81827
229,3594.0513,505178.72,506.29852,,3/11/09,1185.05,165437.35,174.74,,,3772.6565,534141.9,407.42816
230,3650.2212,511335.38,489.95142,,3/12/09,3349.12,468179.34,88.12,,,3821.1313,540218.44,382.1492
231,3672.7295,512554.1,502.06223,,3/13/09,1512.65,217677.63,73.53,,,3848.5886,542961.5,375.28177
232,3716.052,519112.3,510.74292,,3/14/09,4690.25,639509.9,64.58,,,3898.0293,548882.94,386.04886
233,3699.694,519865.16,514.528,,3/15/09,5220.21,718575.17,58.32,,,3959.9504,556647,418.37793
234,3715.0725,525298.9,523.66034,,3/16/09,5534.9,760060.88,87.99,,,4027.7346,565652.94,471.23465
235,3795.5234,537692.8,561.6159,,3/17/09,5634.32,778638.78,58.7,,,4078.21,573051.2,527.41364
236,3896.376,551903.4,629.37195,,3/18/09,4546.78,636956.26,33.96,,,4129.1772,581348.8,596.0904
237,3922.5603,554451.2,680.86755,,3/19/09,3976.45,556637.7,44.22,,,4155.387,587024.9,660.8088
238,3907.265,551366.5,709.52466,,3/20/09,4539.29,633353.27,47.01,,,4154.421,589152.94,714.78
239,3894.2678,547608.1,718.4463,,3/21/09,4427.82,618792.43,47.07,,,4121.756,586392.5,732.4386
240,3868.6904,543271.56,702.2052,,3/22/09,4433.69,618703.76,44.73,,,4069.937,580504.56,733.02856
241,3836.243,539300.1,676.3859,,3/23/09,4490.24,615693.19,43.39,,,4007.013,573344.94,722.1341
242,3829.953,538550.56,653.03656,,3/24/09,4379.47,611263.11,207.66,,,3946.5564,566253.06,703.03424
243,3859.5632,541828.44,654.87256,,3/25/09,505.63,72083.06,17.34,,,3893.1853,557816.06,673.1071
