,DATEPRD,AVG_DOWNHOLE_PRESSURE,AVG_DOWNHOLE_TEMPERATURE,AVG_DP_TUBING,AVG_CHOKE_SIZE_P,AVG_WHP_P,DP_CHOKE_SIZE,BORE_OIL_VOL,BORE_GAS_VOL,BORE_WAT_VOL
1959,2015-05-09,266.205526875,99.60735645833333,235.69324791666668,100.0,30.512278958333333,1.9602254166666666,249.54,36304.49,3277.83
1960,2015-05-10,266.192500625,99.6002225,235.689414375,100.0,30.50308625,1.953214375,249.52,36396.68,3270.31
1961,2015-05-11,266.1572929166667,99.59840854166667,235.70867354166666,100.0,30.448619375,1.895375,249.57,36359.07,3255.98
1962,2015-05-12,266.140186875,99.58907958333333,235.698206875,100.0,30.44198,1.8732379166666666,249.17,36248.95,3250.77
1963,2015-05-13,266.4337414583333,99.58313229166667,235.66868854166665,100.0,30.765052916666665,1.9243489583333333,247.01,35872.74,3230.43
1964,2015-05-14,266.664524375,99.576394375,235.62670125,100.0,31.037823125,1.9746572916666667,218.91,31744.29,3241.86
1965,2015-05-15,266.65559291666665,99.570270625,235.61777520833334,100.0,31.037817708333332,1.9320529166666667,218.85,31669.44,3229.75
1966,2015-05-16,266.65355791666667,99.569506875,235.62290270833333,100.0,31.030655208333332,1.9100727083333333,220.18,31763.16,3226.07
1967,2015-05-17,266.66289520833334,99.565709375,235.633345625,100.0,31.029549583333335,1.9093775,219.57,31790.61,3221.22
1968,2015-05-18,266.64554416666664,99.55865104166666,235.746834375,100.0,30.89870979166667,1.8230933333333332,218.22,31783.85,3217.35
1969,2015-05-19,266.6005125,99.55783583333333,235.59151895833332,100.0,31.008993541666666,1.8733116666666667,219.36,31727.63,3210.16
1970,2015-05-20,266.5741164583333,99.55409229166666,235.55725625,100.0,31.016860208333334,1.898421875,219.12,31639.95,3202.96
1971,2015-05-21,266.54990583333336,99.54964541666666,235.58731708333335,100.0,30.96258875,1.8673920833333333,216.11,31600.98,3245.34
1972,2015-05-22,266.3195797916667,99.55204875,235.51370979166666,100.0,30.80587,1.8967935416666666,213.4,31156.53,3553.58
1973,2015-05-23,265.9006229166667,99.55149583333333,235.45465375,100.0,30.445969166666668,1.901069375,202.34,30665.59,3230.27
1974,2015-05-24,266.180334375,99.54340625,235.49732375,100.0,30.683010625,1.83917875,216.49,31777.82,3638.85
1975,2015-05-25,265.81581270833334,99.54253416666667,235.3573275,100.0,30.458485208333332,1.88368,204.02,30027.03,3391.07
1976,2015-05-26,265.736289375,99.53994,235.32652791666666,100.0,30.40976145833333,1.8846714583333333,210.6,30953.54,3350.03
1977,2015-05-27,265.65507234042553,99.53674,235.32463085106383,97.91666666666667,30.330441489361704,1.8408327659574468,205.59,30105.92,3334.37
1978,2015-05-28,265.6006521276596,99.52851936170212,235.27718829787233,97.91666666666667,30.323463829787233,1.8356019148936171,209.54,30888.27,3695.19
1979,2015-05-29,265.555595625,99.52843166666666,235.23400458333333,100.0,30.321591041666668,1.8277327083333332,212.97,31325.27,3495.86
1980,2015-05-30,265.526861875,99.52275729166666,235.183539375,100.0,30.3433225,1.8579283333333334,211.21,31172.18,3626.25
1981,2015-05-31,265.4997274468085,99.51934,235.24649382978723,97.91666666666667,30.253233617021277,1.7787765957446808,209.66,31042.34,3288.2
1982,2015-06-01,265.5024202083333,99.51934,235.24718583333333,100.0,30.255234375,1.7845145833333333,212.13,31604.86,3575.05
1983,2015-06-02,265.52189354166666,99.51616416666667,235.28041041666665,100.0,30.241483125,1.7253245833333333,211.86,31656.12,3575.71
1984,2015-06-03,265.471984375,99.50906145833333,235.18053083333334,100.0,30.291453541666666,1.8141241666666668,210.38,31240.33,3522.27
1985,2015-06-04,265.44770270833334,99.5079,235.17576375,100.0,30.271938958333333,1.8138804166666667,209.98,31051.19,3407.31
